CustomerID,age
12747,1
12749,8
12820,7
12821,1
12822,6
12823,6
12824,1
12826,5
12827,1
12828,7
12829,4
12830,0
12831,5
12832,2
12833,4
12834,1
12836,9
12837,1
12838,6
12839,1
12840,9
12841,0
12842,9
12843,3
12844,3
12845,0
12847,8
12849,7
12851,7
12852,6
12853,5
12854,9
12855,0
12856,6
12857,7
12863,5
12864,1
12867,1
12868,4
12871,10
12872,1
12873,4
12875,6
12877,5
12878,6
12879,4
12881,0
12882,8
12883,10
12884,0
12885,4
12886,10
12888,1
12890,9
12891,5
12893,8
12895,1
12897,2
12902,1
12904,0
12906,8
12908,8
12909,8
12910,2
12912,7
12913,8
12915,5
12916,7
12917,1
12919,5
12920,0
12922,0
12923,1
12924,6
12925,8
12928,10
12929,2
12930,4
12933,1
12935,4
12936,9
12937,7
12938,3
12939,0
12940,8
12942,6
12944,1
12945,8
12947,4
12948,4
12949,0
12950,5
12951,5
12952,6
12953,1
12955,0
12956,5
12957,1
12962,3
12963,5
12965,4
12966,8
12967,6
12968,0
12970,5
12974,10
12976,6
12977,2
12980,0
12981,0
12982,1
12984,0
12985,9
12987,8
12988,2
12989,0
12990,4
12991,5
12993,6
12994,10
12995,1
12997,8
12999,5
13000,1
13001,1
13002,7
13003,1
13004,2
13005,8
13006,6
13008,9
13011,0
13012,5
13013,0
13014,1
13015,6
13016,9
13017,5
13018,0
13021,4
13023,6
13026,9
13027,1
13028,2
13029,6
13030,8
13032,9
13033,4
13034,1
13035,9
13037,7
13038,8
13040,8
13043,8
13044,3
13045,4
13046,4
13047,0
13048,7
13049,4
13050,2
13052,9
13055,7
13058,5
13059,6
13060,5
13061,6
13062,7
13064,9
13065,10
13066,7
13067,6
13068,5
13069,1
13070,8
13072,1
13075,8
13077,9
13078,2
13079,7
13080,5
13082,2
13083,1
13085,1
13090,1
13091,6
13092,5
13093,1
13094,4
13095,2
13097,0
13099,7
13101,5
13102,0
13103,6
13104,5
13106,7
13107,9
13108,1
13109,6
13110,4
13113,1
13115,7
13116,5
13117,6
13118,9
13120,2
13121,5
13122,10
13124,5
13126,4
13127,6
13130,4
13131,7
13132,3
13133,3
13134,10
13135,4
13136,9
13137,1
13138,4
13139,0
13140,2
13141,9
13142,6
13144,9
13145,3
13146,0
13147,8
13148,0
13149,7
13151,6
13153,6
13155,7
