CustomerID,age
12747,2
12749,6
12820,9
12821,2
12822,11
12823,10
12824,4
12826,3
12827,3
12828,5
12829,4
12830,1
12831,2
12832,3
12833,3
12834,3
12836,6
12837,2
12838,1
12839,3
12840,6
12841,1
12842,8
12843,3
12844,2
12845,3
12847,7
12849,7
12851,3
12852,4
12853,6
12854,8
12855,3
12856,3
12857,10
12863,3
12864,2
12867,2
12868,4
12871,3
12872,3
12873,2
12875,2
12877,6
12878,10
12879,3
12881,2
12882,8
12883,6
12884,4
12885,8
12886,8
12888,2
12890,4
12891,1
12893,2
12895,1
12897,2
12902,3
12904,2
12906,8
12908,5
12909,7
12910,2
12912,8
12913,6
12915,5
12916,7
12917,3
12919,4
12920,4
12922,1
12923,3
12924,10
12925,4
12928,6
12929,3
12930,2
12933,3
12935,4
12936,7
12937,7
12938,1
12939,3
12940,9
12942,2
12944,2
12945,3
12947,5
12948,5
12949,2
12950,11
12951,4
12952,10
12953,2
12955,1
12956,5
12957,0
12962,3
12963,4
12965,6
12966,1
12967,7
12968,3
12970,3
12974,3
12976,8
12977,2
12980,2
12981,2
12982,2
12984,4
12985,8
12987,3
12988,1
12989,0
12990,4
12991,4
12993,2
12994,7
12995,2
12997,9
12999,2
13000,2
13001,3
13002,5
13003,2
13004,1
13005,1
13006,1
13008,3
13011,4
13012,5
13013,2
13014,2
13015,6
13016,8
13017,3
13018,3
13021,5
13023,3
13026,4
13027,3
13028,4
13029,7
13030,6
13032,8
13033,2
13034,2
13035,10
13037,5
13038,8
13040,3
13043,3
13044,4
13045,3
13046,2
13047,0
13048,11
13049,4
13050,1
13052,3
13055,10
13058,4
13059,3
13060,2
13061,2
13062,2
13064,7
13065,1
13066,3
13067,3
13068,2
13069,2
13070,4
13072,0
13075,6
13077,9
13078,0
13079,4
13080,2
13082,0
13083,1
13085,3
13090,0
13091,3
13092,4
13093,2
13094,5
13095,2
13097,1
13099,1
13101,4
13102,1
13103,4
13104,4
13106,2
13107,12
13108,2
13109,10
13110,4
13113,3
13115,8
13116,3
13117,5
13118,8
13120,2
13121,5
13122,8
13124,8
13126,4
13127,3
13130,3
13131,6
13132,2
13133,2
13134,8
13135,8
13136,7
13137,2
13138,4
13139,0
13140,3
13141,6
13142,4
13144,3
13145,2
13146,3
13147,8
13148,2
13149,7
13151,6
13153,3
13155,6
13157,8
13158,6
13159,6
13160,1
13161,2
13162,7
13165,10
13166,2
13167,7
13168,7
13169,8
13170,1
13171,0
13173,1
13174,7
13176,2
13177,3
13178,1
13182,2
13183,0
