12346,1
12747,12
12748,10
12749,1
12820,2
12821,3
12822,1
12823,1
12824,2
12826,7
12827,2
12828,4
12829,5
12830,9
12831,5
12832,4
12833,6
12834,6
12836,1
12837,5
12838,6
12839,13
12840,1
12841,9
12842,3
12843,9
12844,4
12845,4
12847,2
12849,3
12851,10
12852,3
12853,10
12854,0
12855,6
12856,12
12857,0
12863,3
12864,5
12867,11
12868,9
12871,10
12872,3
12873,6
12875,6
12877,12
12878,1
12879,7
12881,2
12882,2
12883,0
12884,6
12885,2
12886,2
12888,1
12890,6
12891,3
12893,7
12895,3
12897,2
12901,11
12902,5
12904,5
12906,0
12908,1
12909,1
12910,8
12912,2
12913,3
12915,5
12916,1
12917,7
12919,13
12920,5
12921,9
12922,4
12923,3
12924,0
12925,3
12928,2
12929,4
12930,1
12931,7
12933,0
12935,10
12936,2
12937,2
12938,4
12939,7
12940,2
12942,4
12944,4
12945,4
12947,11
12948,6
12949,8
12950,2
12951,9
12952,3
12953,4
12955,8
12956,2
12957,6
12962,6
12963,12
12965,0
12966,9
12967,2
12968,5
12970,6
12971,5
12974,5
12976,1
12977,6
12980,10
12981,9
12982,5
12984,5
12985,1
12987,5
12988,5
12989,7
12990,4
12991,3
12993,8
12994,2
12995,5
12997,1
12999,9
13000,8
13001,5
13002,2
13003,6
13004,6
13005,3
13006,3
13008,6
13011,4
13012,8
13013,8
13014,6
13015,1
13016,2
13017,6
13018,4
13021,13
13023,5
13026,2
13027,10
13028,3
13029,1
13030,3
13032,2
13033,5
13034,4
13035,0
13037,2
13038,1
13040,4
13043,4
13044,5
13045,4
13046,9
13047,7
13048,1
13049,1
13050,4
13052,3
13055,0
13058,3
13059,4
13060,5
13061,5
13062,2
13064,1
13065,7
13066,9
13067,5
13068,8
13069,8
13070,4
13072,5
13075,1
13077,2
13078,7
13079,5
13080,4
13081,8
13082,6
13083,4
13085,8
13089,11
13090,8
13091,6
13092,4
13093,9
13094,4
13095,6
13097,11
13098,8
13099,5
13101,6
